,contents,down_count,is_facebook,is_twitter,mobile_yn,modified_ymdt,object_id,registered_ymdt,ticket,up_count,writer_id,writer_ip,writer_nickname,writer_profile_type
17,가슴저리게 기분좋은 ~~,0,false,false,N,2016-07-15T12:40:07.0+0900,novel-521183,2016-06-28T01:31:43.0+0900,novel02,2,kchs****,211.202.xxx.111,가람과뫼,naver
18,완전 달달해요~ 딱 내스타일^^,0,false,false,Y,2016-07-15T12:40:08.0+0900,novel-521183,2016-06-20T00:25:18.0+0900,novel02,3,nut7****,182.208.xxx.197,별,naver
19,"작가님, 박진웅 공동구매 사이트 좀 알려주세요 ㅎㅎ",0,false,false,N,2016-07-30T00:38:02.0+0900,novel-489762,2016-07-30T00:38:02.0+0900,novel02,0,eoe5****,59.11.xxx.189,후르츠링,naver
20,"그래요, 여러분!! 우리 박진웅을 공동구매 합시다. 안 된다면... 하나 사서 복제합시다ㅋㅋㅋㅋ
(저도 아주 절실히 저런 남자가 필요합니다 ㅋㅋㅋ)",0,false,false,N,2016-07-30T00:36:43.0+0900,novel-489762,2016-07-29T12:14:35.0+0900,novel02,1,saku****,211.109.xxx.72,이브나-,novel
21,진웅이 복제해도 되나요? 딱 내 옆에 두게요. ㅋㅋㅋㅋㅋㅋㅋ,0,false,false,N,2016-07-29T11:42:07.0+0900,novel-489762,2016-07-28T23:31:50.0+0900,novel02,1,ichm****,116.34.xxx.60,세잎클로버,naver
22,너무너무 재밌어요~보는 내내 광대승천^^,0,false,false,Y,2016-07-22T20:59:25.0+0900,novel-489762,2016-07-22T13:53:25.0+0900,novel02,1,lion****,218.235.xxx.162,liongirl76,naver
23,취향저격!!! 저런 남자는 어디서 사야할까요?? 왜케 달달모드가 귀엽고~~^^암튼 작가님짱!!~~~^^,0,false,false,Y,2016-07-22T01:06:11.0+0900,novel-489762,2016-07-17T17:00:10.0+0900,novel02,2,zkzk****,122.43.xxx.231,앙팡테리블,naver
24,작품 정말 제 취향이에요! ㅋㅋㅋㅋㅋ 작은 오해들이 얽혀서 큰 오해를 만들고 해프닝이 되고 상황은 자꾸 꼬이는데 직진하는 박 대리가 너무 귀엽습니다ㅠㅠㅠㅠ 베스트리그 승격하신 것 축하드려요~♡ 다른 분들도 이 작품의 매력을 빨리 깨달아야 할텐데 흑흑..,0,false,false,N,2016-07-01T16:12:28.0+0900,novel-489762,2016-06-30T16:44:17.0+0900,novel02,2,ccsd****,121.161.xxx.21,시작,naver
25,"이렇게 재밌는 작품에 리뷰가 왜 없죠?ㅎㅎ작가님 스타일이 딱 제 취향인가 봅니다 ㅎㅎ 보는 내내 유쾌하고 즐겁고 설렜어요 ^^ 40화까지 쉴새없이 정주행했어요ㅎㅎ 왕초보작가에게 크나큰 좌절감을 주시다 못해 왕팬으로 만들어버리신 이브나 작가님! 책임지세요 ㅋㅋㅋ 대놓고 들이대는 남자! 화이팅입니다 ^^ 책으로 나오면 당장 사러 갈겁니다 ㅎㅎ 다음화 정말 궁금해서 여러번 왔다갔다 하네요 ㅎㅎ 
작가님의 다른 작품도 읽으러 갈게요ㅎㅎ 좋은 밤되세요??",0,false,false,Y,2016-07-11T05:41:43.0+0900,novel-489762,2016-06-13T00:31:34.0+0900,novel02,7,eoe5****,59.11.xxx.189,후르츠링,naver
26,귀엽네요ㅎㅎ,0,false,false,N,2016-07-08T21:32:46.0+0900,novel-554438,2016-07-08T21:32:46.0+0900,novel02,0,chou****,175.199.xxx.104,초우,naver
27,한국에서 있었떤 일...- -,0,false,false,N,2016-07-08T21:32:50.0+0900,novel-554438,2016-07-03T16:16:53.0+0900,novel02,1,sexy****,58.151.xxx.38,오베드로,naver
28,♥♡♥,0,false,false,N,2016-07-26T06:30:52.0+0900,novel-528108,2016-07-25T19:43:10.0+0900,novel02,2,dlks****,112.152.xxx.80,바닐라우유,naver
29,너무 재밌어요ㅎ삭제  수정본 말고 원본을 보고싶어요ㅎㅎ어디로 가야 볼수있나요? ㅎㅎ작가님 파이팅♥,0,false,false,Y,2016-07-26T09:16:02.0+0900,novel-528108,2016-07-24T00:49:12.0+0900,novel02,3,happ****,122.34.xxx.75,as1103,naver
30,"왜 이런 작품이 여기 있죠?
어여 옆동네로 이사가세요~~~~~",0,false,false,N,2016-07-26T09:43:08.0+0900,novel-528108,2016-07-23T10:32:16.0+0900,novel02,6,inac****,121.100.xxx.73,오드리햅빤,naver
31,"으허엉~~너무 너무 좋아요~~~♡♡♡ 
완전 재밌게 보고있어요~~~♡♡♡♡",0,false,false,Y,2016-07-26T09:16:41.0+0900,novel-528108,2016-06-25T04:38:40.0+0900,novel02,5,srha****,175.28.xxx.90,로얄밀크,naver
32,"정식 웹소설보다 훨씬 재밌어요!!!
기존 로맨스에서 볼 수 없는 중세 프랑스의 삶과 문화까지...
이번에 완전 작가님 팬 됐어요
300년 안 보신 분들 강추, 완전 강추합니다!",0,false,false,N,2016-07-26T06:31:02.0+0900,novel-528108,2016-06-23T10:50:59.0+0900,novel02,7,rulo****,175.28.xxx.90,쿠쿠다스,naver
33,"정말 숨은 보석을 발견한 느낌이에요!
작가님의  18세기 문화에 대한 박식함에 혀를 내두르게 되고요...
내용도 겁나 재밌어요!!!
전 매일 미리보기까지 다 챙겨보고 있어요!!! 작가님~~~~",0,false,false,N,2016-07-26T09:42:55.0+0900,novel-528108,2016-06-13T17:39:07.0+0900,novel02,11,dlsk****,175.28.xxx.90,커피럽,naver
34,처음 볼때 '뭐 이런 개그물이 있지?' 하고 보았는데 점점 이야기가 진행되면서 부터는 하나씩 작가가 던지는 수수께끼와 떡밥을 주워먹고 있는 나를 발견하는 작품입니다. 로맨스 20% + 미스테리 50% + 판타지 30% 가 버무려진 작품으로 순수와 비순수 문학이 어울려져서 자꾸 독자들의 호기심을 자극하는 2016년 네이뇬의 최고 작품이라 손꼽고싶네요! 제가 젤 좋아했던 퇴마록보다 더 재미있는거 같습니다. 이거 완결나도 소장본 종이책으로 꼭 사서 읽고싶다는 소망이 생기네요!!!,0,false,false,Y,2016-07-29T08:24:03.0+0900,novel-491876,2016-07-22T04:02:26.0+0900,novel02,5,blue****,182.222.xxx.97,희정,naver
35,오늘 안 올리나요? 많이 기다리고 있는데...,0,false,false,Y,2016-07-09T17:36:07.0+0900,novel-491876,2016-07-09T07:42:52.0+0900,novel02,4,kspa****,39.112.xxx.60,KS,naver
36,"작품도 고급이더니 리뷰들도 고급이십니까~ 
설정도 참신하고 캐릭터도 살아있고, (양이는 ""엄청"" 평벙한 현실 인간인데, 그래서 엄청 독특한 캐릭터가 되었다는거 작가는 알까요?) 재미도 있고, 철학도 있는데, 철학이 재미를 흐리거나 재미가 철학을 흐리지 않는, 보기 드문 소설입니다. 
게다가 성실연재에 그 흔한 오타조차 없네요. 저도 눈 밝은 출판사가 순수문학으로 데려갔으면 좋겠습니다.",0,false,false,Y,2016-07-22T03:50:26.0+0900,novel-491876,2016-06-17T20:45:01.0+0900,novel02,6,soji****,223.62.xxx.85,워터아이,naver
37,"단순한 재미로만 볼 소설은 아닌 듯 합니다. 도입이 흥미롭고 재미있어서 그저 그런 로맨스판타지인 줄 알았는데, 그 안에 녹아든 작가의 상상력과 철학적 소재가 정말 놀랍습니다. 한 편 한 편 감탄하면서 읽게 됩니다. 작가님, 앞으로도 꾸준히 건필하시고 무사완결만 해주십시오!",0,false,false,Y,2016-07-22T03:50:33.0+0900,novel-491876,2016-06-15T22:04:56.0+0900,novel02,7,25df****,58.239.xxx.105,리베로,naver
38,"우리의 고유 정서 속에  고전이야기로나 남아있는 도깨비와 인간의 어울림을 현재화 시켜 현대인의 감정과 사건으로 풀어내는 작가의 필력이 남다르네요. 잘 읽고 있습니다. 우리만의 소중한 정서를 작품으로 승화시키는 작가님의 역량에 우선 한표, 기대되는 앞으로의 전개에 또 한 표 미리 드립니다.",0,false,false,Y,2016-07-22T03:50:37.0+0900,novel-491876,2016-06-14T08:20:58.0+0900,novel02,6,kspa****,39.112.xxx.60,KS,naver
39,"난 이 작가가 궁금하다 
이런 무궁무진한 이야기들을  어디에 담아두고 있는지, 그리고 그 풀어내는 필력 또한 아름답다. 
이 글은 순수 창작문학으로 곧 눈 밝은 어느 출판사에서
 도서 출판되리라 예견해  봅니다.",0,false,false,Y,2016-07-22T03:50:46.0+0900,novel-491876,2016-06-14T01:41:35.0+0900,novel02,7,grac****,211.36.xxx.228,memories,naver
40,이 작품 열렬히 응원하며 제 최애작이 되었습니다.,0,false,false,Y,2016-06-14T10:19:02.0+0900,novel-491876,2016-06-10T07:50:09.0+0900,novel02,4,leem****,114.199.xxx.74,리라,naver
41,"로맨스이면서도 퓨전이고 
뭔가 슬픈사연이 보이지않게 있는듯한데
게그가많아 배꼽쥐며읽다보면 철학이있고...
이게 뭐야? 하면서 읽다보니 
아깝다 ~
장르문학이긴해도 순문학에 조금도 밀리지않는
작가의 머리속을 들어가고픈 맘뿐이네요.
항시 담작품을 기다리며  오늘도 맥없이 들어왔다가 
...",0,false,false,Y,2016-07-22T03:50:56.0+0900,novel-491876,2016-06-10T07:35:17.0+0900,novel02,4,leem****,114.199.xxx.74,리라,naver
42,꿀잼 꿀잼♡,0,false,false,Y,2016-06-17T20:36:13.0+0900,novel-491876,2016-06-10T03:01:07.0+0900,novel02,6,stay****,39.118.xxx.61,김계피,naver
43,좋은 글 감사드립니다.,0,false,false,Y,2016-07-29T11:11:45.0+0900,novel-407247,2016-07-26T09:10:36.0+0900,novel02,3,leah****,14.32.xxx.117,리아,naver
44,"작가님 넘  재밌어요 하루하루가 기다려줘요
작가님 홧팅요",0,false,false,Y,2016-07-28T20:30:22.0+0900,novel-407247,2016-07-20T08:38:22.0+0900,novel02,6,sati****,1.176.xxx.104,,naver
45,"수환과 해령의 힐링 로맨스
피아니스트 수환은 뜻하지 않게 접촉사고로 인해 유치원교사인 해령을 만나게 되는데 첫 만남부터 쉽지만은 않는 해령을 만나 사랑을 느끼게 되고 해령과의 사랑이 깊어질수록 꿈꿔왔던 지휘자의 길을 선택하게된다. 해령 또한 수환과의 사랑으로 자극받으며 삶으로 인해서 포기했던 피아노의 길에 도전하게 되는데...아직 완결은 안났으나 두 사람의 애틋한 사랑이야기가 클레식 선율처럼 잔잔하게 그려진 작품이다.",0,false,false,N,2016-07-21T22:43:48.0+0900,novel-513949,2016-07-21T22:37:33.0+0900,novel02,1,blue****,182.222.xxx.97,희정,naver
46,"전개도 빠르고..
기슴 먹먹한 로맨스 ..읽다가 눈물바람도 되고
떨리는 아픔에 가슴 치고 하면서도 또  보게되네여
슬프지만 그안에 부부간의 사랑도,친구사이의 의리도 우정도 다들어 있는..
완결없이 계속 올라왔음  좋겠어여",0,false,false,Y,2016-07-30T10:25:43.0+0900,novel-533745,2016-07-30T10:25:43.0+0900,novel02,0,svhc****,175.194.xxx.146,홍당무,naver
47,여긴 아무도 없네여??,0,false,false,Y,2016-07-28T00:51:00.0+0900,novel-533745,2016-07-18T17:21:00.0+0900,novel02,2,joga****,124.60.xxx.78,샷치,naver
48,꿀잼ㅋㅋㅋㅋㅋㅋ,0,false,false,N,2016-07-29T05:55:04.0+0900,novel-539286,2016-07-21T21:51:04.0+0900,novel02,4,jhc0****,211.244.xxx.30,Mesut_ozil,naver
49,재밌어요!!!,0,false,false,Y,2016-07-29T05:55:06.0+0900,novel-539286,2016-07-20T15:52:21.0+0900,novel02,4,ymn2****,221.153.xxx.199,인니피트1025,naver
50,전개가 신선하고 등장인물들간에 케미가 돋보이네요ㅋㅋ꾸르잼,1,false,false,Y,2016-07-29T19:04:14.0+0900,novel-539286,2016-07-09T13:36:01.0+0900,novel02,5,levi****,119.214.xxx.36,,naver
51,초능력을 이용한 러브라인.. 얘기가 어떻게 전개 될 지 기대되요!!ㅋㅋㅋ,0,false,false,Y,2016-07-29T05:55:09.0+0900,novel-539286,2016-07-07T07:58:31.0+0900,novel02,3,xhtl****,223.62.xxx.246,토실토실,naver
52,챌린지 리그 때부터 재밌게 보고 있어요!,0,false,false,Y,2016-07-29T05:55:10.0+0900,novel-539286,2016-06-30T21:06:08.0+0900,novel02,4,psal****,218.152.xxx.188,박하영,naver
53,초능력이라 ㅋㅋㅋㅋㅋㅋㅋ 기존에 나와있는것과는 다른세계관일것인가의 기대감이 있네요 ㄹㄹ,1,false,false,Y,2016-07-29T05:55:12.0+0900,novel-539286,2016-06-30T20:41:41.0+0900,novel02,5,vdcf****,223.62.xxx.23,강신찬,naver
54,"한번 빠지고나면 하루에 한번 이상은 꼭 와서 다시 정독하게하는 마약보다 더 위험한 소설입니다.
조심하세요, 여러분. 경고했습니다.",0,false,false,N,2016-06-17T00:42:06.0+0900,novel-351993,2016-06-17T00:00:48.0+0900,novel02,1,qwe0****,121.1.xxx.119,고래잡이메스,naver
55,언제나 어디서나 영원히 아름답게 빛나시길,0,false,false,Y,2016-06-16T07:57:34.0+0900,novel-351993,2016-06-09T23:30:35.0+0900,novel02,3,slal****,1.227.xxx.132,은연,naver
56,"베스트에도 리뷰가 생겼네요
작가님 글 언제나 잘 읽고 있어요. 마지막까지 힘내세요",0,false,false,Y,2016-06-16T07:57:36.0+0900,novel-351993,2016-06-09T15:23:42.0+0900,novel02,3,mhs0****,58.236.xxx.91,가지런한시간,naver
57,강추!,0,false,false,Y,2016-07-30T23:48:16.0+0900,novel-540184,2016-07-25T18:37:27.0+0900,novel02,1,zuju****,182.211.xxx.96,,naver
58,너무재밌어요ㅠ 다음편 간절하게 원해요!,0,false,false,Y,2016-07-29T20:38:59.0+0900,novel-540184,2016-07-18T23:04:09.0+0900,novel02,2,najy****,59.0.xxx.189,히징찡,naver
59,"정말 재밌게 읽고있습니다
미미 재신이 둘다 미워할수없는 넘나 사랑스런캐릭
요새 매일 도장찍는 낙입니다
작가님 끝까지 해주실거죠
사랑합니다 작가님
애독자들이 있으니 힘내주세영 화이팅",1,false,false,Y,2016-07-20T18:31:20.0+0900,novel-540184,2016-06-19T17:33:22.0+0900,novel02,9,jung****,223.62.xxx.8,8282,naver
60,정말 공감하며 사람냄새나는 글이네요. 내가 미미가 되기도 하고 남주를 이해하면서 다할수있는 남자인거 같으면서 사람냄새나는 남자 ..귀엽습니다..매일 클래식 fm을 듣고 있는데 이글로 절대 공감을 하며 피아노 첼로 바이올린 선율를 듣고 글을 남기고 있습니다..다시한번 작가님 글 발견하고 어제 밤부터 고고씽 50화까지 다 읽었습니다 쭉 기다리고 있겠습니다^^* 기쁜날 되세요 작가님,0,false,false,N,2016-07-20T18:31:19.0+0900,novel-540184,2016-06-15T10:06:26.0+0900,novel02,10,ydas****,112.166.xxx.179,,naver
61,오우 너무 재미있어요!!짱짱맨!! (ICE TEA),0,false,false,N,2016-07-18T07:35:37.0+0900,novel-187701,2016-06-24T22:10:59.0+0900,novel02,1,yeri****,182.222.xxx.48,이예림,naver
62,음 ,0,false,false,Y,2016-07-08T18:37:58.0+0900,novel-296333,2016-07-08T18:37:58.0+0900,novel02,0,gkdl****,122.35.xxx.16,,naver
63,매번 다시 태어났다는데 변한게 없는 여주땜에 발암..근데 주변에 남자 꼬이는 것이 이해불가..,0,false,false,Y,2016-07-28T16:31:41.0+0900,novel-89749,2016-07-21T22:42:52.0+0900,novel02,0,pump****,116.41.xxx.3,윈드,naver
64,도대체 보던 내용들이 몽땅 사라져 황당해졌네요,0,false,false,Y,2016-06-22T21:21:41.0+0900,novel-536509,2016-06-22T21:21:41.0+0900,novel02,0,knyn****,117.17.xxx.39,,naver
65,"저도요 ㅠ ㅠ자고 일어난 뒤 글이 삭제가되어 있어요.
작가님 어찌된일이죠??",0,false,false,Y,2016-06-18T17:05:27.0+0900,novel-536509,2016-06-18T17:05:27.0+0900,novel02,0,tnsl****,113.216.xxx.193,lovelyss,naver
66,지금 정주행 하고 있었는데 배터리갈고 들어오니 다 삭제되었네요ㅜㅠ 이제 못 읽는 건가요?? ㅠ,0,false,false,Y,2016-06-18T16:19:05.0+0900,novel-536509,2016-06-18T16:19:05.0+0900,novel02,0,chan****,121.159.xxx.19,,naver
67,"어제도 오늘도 내일도 한 순간도 빠짐없이 작가님 걱정, 작가님 생각으로 시간을 보냅니다~ 너무나 빠르게 흘러가는, 애석한 시간들이지만 늘ㅎH랑 작가님 생각만으로도 저절로 미소가 지어져서... 제가 버틸 수 있는 유일한 끈이기 때문에 절대 포기할 수 없어요! 아니, 네버 포기하지 않을 거에요! 헤헤♡ (부끄) 
비록 제가 할 수 있는 건 이런 것 뿐이지만 그래도 작가님께서 조금이나마 밝게 웃으셨으면 좋겠습니다~ ^ㅋㅋ^ 지금보다 더 작가님만을 바라보며 굳게 믿고 있어요오! 갓... 큼큼- 저는 언제나 작가님의 든든한 편이 되고 싶습니다~ (쑥쓰) 
늘 변함없이 따듯하고 다정하신 작가님께 정말 감사드리고 또 죄송하옵니다... (꾸벅) 영원히 진심으로 사랑하고 또 사랑합니다?",0,false,false,Y,2016-07-01T09:06:01.0+0900,novel-479423,2016-07-01T09:06:01.0+0900,novel02,0,love****,118.32.xxx.194,사요나라,naver
68,"늘ㅎH랑 작가님...♡ 언제나 힘힘! 응원하고 또 응원합니다~ 제가 늘 작가님 곁에 뜨거운 마음으로 한결같이 있다는 거 잊지 말아주세요! 저는 작가님의 열혈... 아니, (미칠) 광팬이니까요~ : D 작가님에 대한 제 애정은 날이 갈수록 이글 이글, 활활 불타오릅니다! 앗, 제 가슴에 불을 지르신 작가님은 방화범...? ^ㅋㅋ^ (오글) 
항상 재미있고 활력소가 되는 이야기 들려주셔서 정말 감사드려요~ 또 계속해서 발전하려는 모습 보여주시려고 노력하시는 작가님께 매일 매일 감동받고 갑니다! 우리 단하품과 너디, 사멋 그리고 늘ㅎH랑 작가님은 제 삶에 가장 큰 낙이자 하루 하루 엄청난 기운을 복돋아 주시는... 진심으로 작가님은 제게 그런 존재이십니다~ (해맑음) ^ㅎㅎ^
소중한 작가님의 건강 잃지 마시고 어깨 힘 빠악! 파워 워킹! 주먹 불끈! 에브리데이 행복 가득하시길 소망합니다~ 작가님께서 아프시면 저는 더 아파요! &gt;_&lt; 제 마음이 마이 아ㅍ... (쿨럭)",0,false,false,Y,2016-07-01T09:04:22.0+0900,novel-479423,2016-07-01T09:04:22.0+0900,novel02,0,love****,118.32.xxx.194,사요나라,naver
69,특이한 발상과 풍부한 감성 그리고 가만히 미소 짓게 하는 유머까지.. 정말 재밌게 읽었습니다. 1편부터 쉬지 않고 정주행 했네요... 울 주완이를 사랑하는 그 마음 변치 않게 해 주세요.,0,false,false,Y,2016-07-27T20:34:22.0+0900,novel-536598,2016-07-27T20:34:22.0+0900,novel02,0,knsk****,67.161.xxx.113,maha,naver
70,또 언제 올리시나요..??ㅜ다음편이 궁굼합니다..작가님책좋아요..,0,false,false,Y,2016-07-27T09:40:01.0+0900,novel-536598,2016-07-27T09:40:01.0+0900,novel02,0,winy****,223.62.xxx.151,,naver
71,그다음편은 언제 또 나오나요?,0,false,false,Y,2016-07-14T21:20:27.0+0900,novel-541213,2016-07-14T21:20:27.0+0900,novel02,0,sati****,1.176.xxx.104,,naver
72,재밌어요^^,0,false,false,Y,2016-07-04T22:05:04.0+0900,novel-541213,2016-06-12T23:34:38.0+0900,novel02,3,chun****,211.202.xxx.222,,naver
73,달달한로맨스!좋아요♡♡♡,0,false,false,Y,2016-07-30T21:52:30.0+0900,novel-458846,2016-07-30T21:52:30.0+0900,novel02,0,whit****,39.7.xxx.117,flowergarden,naver
74,일년만에 오셨네요??,0,false,false,N,2016-07-27T17:43:33.0+0900,novel-458846,2016-07-27T17:43:33.0+0900,novel02,0,mary****,121.186.xxx.39,아랑이,naver
75,너무 대중적이다.어디서나 볼 수 있는 그냥 그런 스토리.,3,false,false,Y,2016-07-30T21:51:37.0+0900,novel-458846,2016-07-14T00:53:06.0+0900,novel02,0,niev****,211.206.xxx.29,GRACE1225,naver
76,"잘난 남자 해든.. 말발도 국보급이네~~~
차해든 만나보고싶으다.  멋지다",0,false,false,N,2016-07-26T15:49:02.0+0900,novel-529338,2016-07-26T14:55:34.0+0900,novel02,1,shh7****,125.189.xxx.87,신현호,naver
77,너무 잘 쓰셨어여 정주행하고 있습니다♥,0,false,false,Y,2016-07-20T13:19:11.0+0900,novel-529338,2016-07-16T08:07:11.0+0900,novel02,1,kmsj****,27.119.xxx.80,정하영,naver
78,우어어,0,false,false,Y,2016-07-02T01:05:23.0+0900,novel-529338,2016-07-02T01:05:23.0+0900,novel02,0,eunj****,110.70.xxx.139,서은지,naver
79,구리구리 해든구리~ 다누다누 강단우~~ 차니차니 차은찬이~~ 오잉크오잉크 핑크돼지 누리~~ ㅋ SHOW ME THE DDUI WORLD !!~~ 유부남인 줄 알았던 해든구리는 유난히 잘난 미소로 부지런히 직진하는 남자였고 도도해 보이기만 하던 단우는 도무지 빠져나올 수 없는 상큼발랄 (엉뚱 덤벙 쪼끔ㅋ) 매력녀였어요~~ 길 가다 보이는 수많은 간판들 속에 피부과 글자만 보면 왠지 저기에 해든구리님이 있을 것 같아요~ 두 사람만의 사랑이 아니라 가족간의 믿음도 함께 보여주는 뚜이월드의 구리구리~ 한 번 빠지면 못 나온다구리구리~~,0,false,false,Y,2016-06-22T14:00:27.0+0900,novel-529338,2016-06-22T13:46:04.0+0900,novel02,1,kell****,218.235.xxx.97,월선,naver
80,읽고있는데갑자기닫혔어요...몇회읽었는지파악도못했는데ㅠㅠ원래미리공지없이닫히나요..??,1,false,false,Y,2016-07-16T17:16:51.0+0900,novel-535202,2016-06-30T19:09:29.0+0900,novel02,2,bsbp****,125.181.xxx.155,하늘빛,naver
81,40회까지 읽고 있었는데 갑자기 닫혀서... 하루만이라도 연장해주세요~~,0,false,false,N,2016-07-03T22:25:09.0+0900,novel-535202,2016-06-30T18:11:49.0+0900,novel02,1,mm96****,112.168.xxx.66,,naver
82,"왜 조회가 안되요
며칠만 연장해주세요",0,false,false,Y,2016-07-03T22:25:11.0+0900,novel-535202,2016-06-30T18:05:28.0+0900,novel02,1,saja****,223.33.xxx.116,,naver
83,좋아요♥♥♥♥♥♥♥♥♥♥,0,false,false,Y,2016-07-22T21:08:34.0+0900,novel-533887,2016-06-21T22:37:17.0+0900,novel02,0,kimj****,49.165.xxx.234,김영숙,naver
84,좋게 봐주셔서 감사합니다♡,0,false,false,Y,2016-07-20T08:53:43.0+0900,novel-545751,2016-07-18T20:52:12.0+0900,novel02,2,joo3****,211.202.xxx.134,쥬블리,novel
85,작가님..글 너무 재밌어요. 한번에 다 읽으면 매일매일  작가님만 기다릴까봐..고이고이 아껴보고 있어요. 재밌는 소설 감사합니다...:),0,false,false,Y,2016-07-27T23:12:44.0+0900,novel-545751,2016-07-18T00:39:34.0+0900,novel02,2,96se****,172.248.xxx.223,,naver
86,정주행 중입니다.,0,false,false,N,2016-07-11T16:35:44.0+0900,novel-545751,2016-07-11T13:37:35.0+0900,novel02,1,ping****,58.232.xxx.193,,naver
87,정주행 중입니다 잼나네용 앞으로도 좋은글 써주세요,0,false,false,Y,2016-07-18T16:14:31.0+0900,novel-545751,2016-06-19T20:26:40.0+0900,novel02,4,jsdi****,223.62.xxx.228,,naver
88,최고~~~,0,false,false,Y,2016-07-25T12:48:13.0+0900,novel-531028,2016-07-25T10:46:03.0+0900,novel02,1,regu****,121.1.xxx.38,,naver
